Date,trading_days,UPPER_BAND,LOWER_BAND,Asset_price,Cost_Basis,Stocks,BUY_Signal,SELL_Signal,starting_cash,ending_cash
2010-06-25,121,10.015207155105113,9.112192844894889,9.525,0.0,0.0,False,False,10000.0,10000.0
2010-06-28,122,9.912625552975497,9.314974447024506,9.582,0.0,0.0,False,False,10000.0,10000.0
2010-06-29,123,9.96670336675756,9.23569663324244,9.149000000000001,0.0,0.0,True,False,10000.0,10000.0
2010-06-30,124,10.081661283616894,9.008338716383106,8.983,8.9884915,109.0,True,False,10000.0,9020.2544265
2010-07-01,125,10.12844602539855,8.794353974601453,8.874,8.93631231339713,209.0,False,False,9020.2544265,8132.310726499999
2010-07-02,126,10.09881827795128,8.63018172204872,8.819,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-07-06,127,10.05002781807708,8.525172181922919,8.88,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-07-07,128,9.912792669963402,8.554007330036598,9.238,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-07-08,129,9.791412656232374,8.583387343767626,9.217,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-07-09,130,9.687541952373813,8.62025804762619,9.272,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-07-12,131,9.588377913742288,8.652222086257712,9.189,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-07-13,132,9.402192801175925,8.720607198824077,8.993,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-07-14,133,9.384679697439122,8.713520302560877,9.026,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-07-15,134,9.384647584478436,8.712952415521567,8.98,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-07-16,135,9.379337756465553,8.728462243534445,8.925,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-07-19,136,9.390938753410628,8.70726124658937,8.771,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-07-20,137,9.38442834976944,8.736971650230561,8.996,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-07-21,138,9.344708012642165,8.745091987357835,9.08,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-07-22,139,9.35740918603123,8.739190813968772,9.251,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-07-23,140,9.362537094003606,8.736462905996397,9.284,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-07-26,141,9.386467582860488,8.72673241713951,9.26,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
2010-07-27,142,9.501384566064857,8.699415433935144,9.431000000000001,8.93631231339713,209.0,False,False,8132.310726499999,8132.310726499999
